"Protein","Prediction"
"1435_Hemolytik_Amidation_Free_5.07%","hemolytic"
"1436_Hemolytik_Amidation_Free_36.37%","hemolytic"
"1437_Hemolytik_Amidation_Free_10.90%","hemolytic"
"1438_Hemolytik_Amidation_Free_7.61%","hemolytic"
"1439_Hemolytik_Amidation_Free_5.24%","hemolytic"
"1440_Hemolytik_Amidation_Free_5.24%","hemolytic"
"1441_Hemolytik_Amidation_Free_4.44%","hemolytic"
"1451_Hemolytik_Amidation_Free_41.8%","hemolytic"
"1452_Hemolytik_Amidation_Free_21.4%","hemolytic"
"1453_Hemolytik_Amidation_Free_10%","non-hemolytic"
"1454_Hemolytik_Amidation_Free_3.3%","non-hemolytic"
"1458_Hemolytik_Free_Free_100%","hemolytic"
"1459_Hemolytik_Free_Free_0%","hemolytic"
"1460_Hemolytik_Amidation_Free_28%","hemolytic"
"1461_Hemolytik_Amidation_Free_42%","hemolytic"
"1470_Hemolytik_Amidation_Free_100%","hemolytic"
"1471_Hemolytik_Amidation_Free_73%","hemolytic"
"1472_Hemolytik_Amidation_Free_88%","hemolytic"
"1473_Hemolytik_Amidation_Free_63%","hemolytic"
"1474_Hemolytik_Amidation_Free_6%","hemolytic"
"1475_Hemolytik_Amidation_Free_13%","hemolytic"
"1476_Hemolytik_Amidation_Free_100%","hemolytic"
"1477_Hemolytik_Amidation_Free_6%","non-hemolytic"
"1478_Hemolytik_Amidation_Free_4%","non-hemolytic"
"1479_Hemolytik_Amidation_Free_8%","hemolytic"
"1480_Hemolytik_Amidation_Free_8%","non-hemolytic"
"1481_Hemolytik_Amidation_Free_18%","hemolytic"
"1482_Hemolytik_Amidation_Free_60%","hemolytic"
"1483_Hemolytik_Amidation_Free_0%","non-hemolytic"
"1484_Hemolytik_Amidation_Free_3%","hemolytic"
"1485_Hemolytik_Amidation_Free_12%","hemolytic"
"1486_Hemolytik_Amidation_Free_3%","non-hemolytic"
"1487_Hemolytik_Amidation_Free_7%","non-hemolytic"
"1488_Hemolytik_Amidation_Free_11%","non-hemolytic"
"1489_Hemolytik_Amidation_Free_8%","non-hemolytic"
"1490_Hemolytik_Amidation_Free_36%","hemolytic"
"1491_Hemolytik_Amidation_Free_11%","hemolytic"
"1492_Hemolytik_Amidation_Free_9%","non-hemolytic"
"1493_Hemolytik_Amidation_Free_7%","non-hemolytic"
"1538_Hemolytik_Free_Free_25%","non-hemolytic"
"1539_Hemolytik_Free_Free_13%","non-hemolytic"
"1561_Hemolytik_Free_Free_15.88%","hemolytic"
"1563_Hemolytik_Free_Free_11.63%","hemolytic"
"1568_Hemolytik_Amidation_Free_50%","hemolytic"
"1569_Hemolytik_Amidation_Free_>50%","hemolytic"
"1570_Hemolytik_Amidation_Free_<10%","non-hemolytic"
"1571_Hemolytik_Amidation_Free_~10%","non-hemolytic"
"1574_Hemolytik_Amidation_Free_50%","hemolytic"
"1575_Hemolytik_Amidation_Free_50%","hemolytic"
"1578_Hemolytik_Free_Free_>25%","hemolytic"
"1579_Hemolytik_Free_Free_>30%","hemolytic"
"1580_Hemolytik_Free_Free_30%","hemolytic"
"1581_Hemolytik_Free_Free_40%","hemolytic"
"1582_Hemolytik_Free_Free_>30%","hemolytic"
"1583_Hemolytik_Free_Free_>35%","hemolytic"
"1589_Hemolytik_Free_Free_46%","hemolytic"
"1590_Hemolytik_Free_Free_30%","hemolytic"
"1591_Hemolytik_Free_Free_86%","hemolytic"
"1592_Hemolytik_Free_Free_69%","hemolytic"
"1593_Hemolytik_Free_Free_98%","hemolytic"
"1594_Hemolytik_Free_Free_83%","hemolytic"
"1598_Hemolytik_Amidation_Free_>40%","hemolytic"
"1600_Hemolytik_Free_Free_0.01%","non-hemolytic"
"1601_Hemolytik_Free_Free_0.19%","non-hemolytic"
"1602_Hemolytik_Free_Free_25.8%","hemolytic"
"1603_Hemolytik_Free_Free_0.02%","non-hemolytic"
"1604_Hemolytik_Free_Free_0.06%","non-hemolytic"
"1605_Hemolytik_Free_Free_0.32%","non-hemolytic"
"1607_Hemolytik_Free_Free_0.08%","non-hemolytic"
"1608_Hemolytik_Amidation_Free_100%","non-hemolytic"
"1609_Hemolytik_Amidation_Free_100%","non-hemolytic"
"1610_Hemolytik_Amidation_Free_100%","hemolytic"
"1611_Hemolytik_Amidation_Free_100%","non-hemolytic"
"1612_Hemolytik_Amidation_Free_~10%","non-hemolytic"
"1619_Hemolytik_Amidation_Free_40%","hemolytic"
"1620_Hemolytik_Amidation_Free_40%","hemolytic"
"1621_Hemolytik_Free_Free_>80%","hemolytic"
"1622_Hemolytik_Free_Free_20%","non-hemolytic"
"1623_Hemolytik_Free_Free_40%","non-hemolytic"
"1624_Hemolytik_Free_Free_~40%","non-hemolytic"
"1625_Hemolytik_Free_Free_>80%","hemolytic"
"1630_Hemolytik_Free_Free_~100%","hemolytic"
"1632_Hemolytik_Free_Free_<25%","non-hemolytic"
"1633_Hemolytik_Amidation_Free_20%","hemolytic"
"1634_Hemolytik_Amidation_Free_15%","hemolytic"
"1635_Hemolytik_Amidation_Free_100%","hemolytic"
"1636_Hemolytik_Amidation_Free_40%","hemolytic"
"1639_Hemolytik_Amidation_Acetylation_62%","hemolytic"
"1640_Hemolytik_Amidation_Acetylation_18%","non-hemolytic"
"1641_Hemolytik_Amidation_Acetylation_46%","non-hemolytic"
"1642_Hemolytik_Amidation_Acetylation_48%","non-hemolytic"
"1643_Hemolytik_Amidation_Free_20.0±1.8%","non-hemolytic"
"1644_Hemolytik_Amidation_Free_11.2±1.5%","non-hemolytic"
"1645_Hemolytik_Amidation_Free_18.1±0.3%","non-hemolytic"
"1646_Hemolytik_Amidation_Free_20.9±1.8%","hemolytic"
"1647_Hemolytik_Amidation_Free_29.0±4.9%","hemolytic"
"1648_Hemolytik_Amidation_Free_>50%","hemolytic"
"1653_Hemolytik_Amidation_Free_<50%","hemolytic"
"1668_Hemolytik_Free_Free_50%","non-hemolytic"
"1670_Hemolytik_Free_Free_50%","non-hemolytic"
"1675_Hemolytik_Free_Free_10%","hemolytic"
"1684_Hemolytik_Free_Free_11±4.6%","non-hemolytic"
"1689_Hemolytik_Free_Free_1±0.1%","non-hemolytic"
"1690_Hemolytik_Free_Free_5±0.1%","non-hemolytic"
"1691_Hemolytik_Free_Free_20%hemolysis","non-hemolytic"
"1697_Hemolytik_Amidation_Free_~80%","hemolytic"
"1698_Hemolytik_Amidation_Free_11%hemolysis","non-hemolytic"
"1699_Hemolytik_Amidation_Free_65%","hemolytic"
"1700_Hemolytik_Amidation_Free_~40%","hemolytic"
"1701_Hemolytik_Amidation_Free_~63%hemolysis","hemolytic"
"1702_Hemolytik_Amidation_Free_0-5%","non-hemolytic"
"1703_Hemolytik_Amidation_Free_75%","hemolytic"
"1704_Hemolytik_Amidation_Free_11%hemolysis","non-hemolytic"
"1705_Hemolytik_Amidation_Free_65%","hemolytic"
"1706_Hemolytik_Amidation_Free_21%hemolysis","hemolytic"
"1707_Hemolytik_Amidation_Free_~63%hemolysis","hemolytic"
"1708_Hemolytik_Amidation_Free_4%","non-hemolytic"
"1709_Hemolytik_Free_Free_>40%","hemolytic"
"1721_Hemolytik_Amidation_Acetylation_<0.3%","non-hemolytic"
"1722_Hemolytik_Free_Free_115.7±2.5%","hemolytic"
"1723_Hemolytik_Free_Free_30.2±2.8%","hemolytic"
"1728_Hemolytik_Amidation_Free_24%","hemolytic"
"1729_Hemolytik_Amidation_Free_23%","hemolytic"
"1730_Hemolytik_Amidation_Free_36%","hemolytic"
"1732_Hemolytik_Amidation_Free_18%","hemolytic"
"1814_Hemolytik_Free_Free_10%","hemolytic"
"1822_Hemolytik_Free_Free_4.5%","non-hemolytic"
"1823_Hemolytik_Free_Free_11.62%","non-hemolytic"
"1824_Hemolytik_Free_Free_14.92%","non-hemolytic"
"1825_Hemolytik_Free_Free_9.65%","non-hemolytic"
"1826_Hemolytik_Free_Free_4.70%","non-hemolytic"
"1827_Hemolytik_Free_Free_94.69%","hemolytic"
"1828_Hemolytik_Free_Free_23.11%","hemolytic"
"1829_Hemolytik_Amidation_Free_3±1%","hemolytic"
"1830_Hemolytik_Amidation_Benzoylation_34±9.2%","hemolytic"
"1831_Hemolytik_Amidation_Free_51±4.8%","hemolytic"
"1832_Hemolytik_Amidation_Free_9±2.2%","hemolytic"
"1833_Hemolytik_Amidation_Acetylation_6±0.6%","hemolytic"
"1834_Hemolytik_Amidation_Tosylation_40±4.0%","hemolytic"
"1835_Hemolytik_Amidation_Free_10±1.3%","hemolytic"
"1836_Hemolytik_Amidation_Free_3±0.1%","hemolytic"
"1837_Hemolytik_Amidation_Tosylation_40±3.5%","hemolytic"
"1838_Hemolytik_Amidation_Benzoylation_42±4.7%","hemolytic"
"1839_Hemolytik_Amidation_Free_14±1.6%","hemolytic"
"1840_Hemolytik_Amidation_Tosylation_22±1.3%","hemolytic"
"1841_Hemolytik_Amidation_Tosylation_2±0.7%","hemolytic"
"1842_Hemolytik_Amidation_Benzoylation_2±0.4%","hemolytic"
"1843_Hemolytik_Amidation_Free_34±2.1%","hemolytic"
"1847_Hemolytik_Amidation_Acetylation_40±3.8%","hemolytic"
"1850_Hemolytik_Amidation_Free_22±2.8%","hemolytic"
"1855_Hemolytik_Amidation_Free_8±1.6%","hemolytic"
"1856_Hemolytik_Amidation_Free_14±2.9%","hemolytic"
"1894_Hemolytik_Free_Free_<1%","non-hemolytic"
"1895_Hemolytik_Free_Free_<1%","non-hemolytic"
"1896_Hemolytik_Free_Free_<1%","non-hemolytic"
"1940_Hemolytik_Free_Free_10%","non-hemolytic"
"1941_Hemolytik_Free_Free_20%","hemolytic"
"1942_Hemolytik_Amidation_Free_45-50%","hemolytic"
"1943_Hemolytik_Free_Free_10%","non-hemolytic"
"1944_Hemolytik_Free_Free_55%","hemolytic"
"1968_Hemolytik_Amidation_Free_90%","hemolytic"
"1971_Hemolytik_Amidation_Free_~20%","hemolytic"
"1972_Hemolytik_Amidation_Free_~25%","hemolytic"
"1974_Hemolytik_Amidation_Free_~95%","non-hemolytic"
"1983_Hemolytik_Amidation_Free_30-40%","hemolytic"
"1984_Hemolytik_Amidation_Free_50-60%","hemolytic"
"1998_Hemolytik_Amidation_Free_60%","hemolytic"
"1999_Hemolytik_Amidation_Free_100%","hemolytic"
"2006_Hemolytik_Free_Free_22.5%","hemolytic"
"2007_Hemolytik_Free_Free_39.9%","hemolytic"
"2009_Hemolytik_Amidation_Dansylation_>20%","hemolytic"
"2010_Hemolytik_Amidation_Dansylation_60%","hemolytic"
"2011_Hemolytik_Amidation_Dansylation_~90%","hemolytic"
"2012_Hemolytik_Amidation_Dansylation_~90%","hemolytic"
"2013_Hemolytik_Amidation_Free_68.2%","hemolytic"
"2014_Hemolytik_Amidation_Free_37.9%","hemolytic"
"2015_Hemolytik_Amidation_Free_13.8%","non-hemolytic"
"2016_Hemolytik_Amidation_Free_11.9%","non-hemolytic"
"2017_Hemolytik_Amidation_Free_93.4%","hemolytic"
"2018_Hemolytik_Amidation_Free_60.1%","hemolytic"
"2019_Hemolytik_Amidation_Free_6.0%","non-hemolytic"
"2020_Hemolytik_Amidation_Free_8.5%","non-hemolytic"
"2021_Hemolytik_Amidation_Free_66.2%","hemolytic"
"2022_Hemolytik_Amidation_Free_59.1%","hemolytic"
"2027_Hemolytik_Amidation_Free_<10%","non-hemolytic"
"2028_Hemolytik_Amidation_Free_<10%","non-hemolytic"
"2029_Hemolytik_Amidation_Free_<10%","non-hemolytic"
"2030_Hemolytik_Amidation_Free_<10%","non-hemolytic"
"2070_Hemolytik_Free_Free_2.5%","hemolytic"
"2071_Hemolytik_Free_Free_3.5%","hemolytic"
"2072_Hemolytik_Free_Free_5.5%","hemolytic"
"2074_Hemolytik_Free_Free_0%","non-hemolytic"
"2075_Hemolytik_Free_Free_0%","non-hemolytic"
"2084_Hemolytik_Free_Free_0%hemolysis","hemolytic"
"2085_Hemolytik_Free_Free_100%hemolysis","hemolytic"
"2086_Hemolytik_Free_Free_19%hemolysis","hemolytic"
"2088_Hemolytik_Free_Free_17.8%hemolysis","hemolytic"
"2100_Hemolytik_Free_Free_6%","non-hemolytic"
"2101_Hemolytik_Free_Free_15%","non-hemolytic"
"2102_Hemolytik_Free_Free_4%","non-hemolytic"
"2103_Hemolytik_Free_Free_8%","non-hemolytic"
"2104_Hemolytik_Free_Free_50%","non-hemolytic"
"2105_Hemolytik_Free_Free_93%","non-hemolytic"
"2106_Hemolytik_Free_Free_45%","hemolytic"
"2107_Hemolytik_Free_Free_90%","hemolytic"
"2108_Hemolytik_Free_Free_15%","hemolytic"
"2109_Hemolytik_Free_Free_45%","hemolytic"
"2133_Hemolytik_Free_Free_8%","hemolytic"
"2134_Hemolytik_Free_Free_37%","hemolytic"
"2151_Hemolytik_Amidation_Free_0%","hemolytic"
"2153_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2154_Hemolytik_Amidation_Free_3%","non-hemolytic"
"2156_Hemolytik_Amidation_Free_88.6%","hemolytic"
"2157_Hemolytik_Amidation_Free_50.4%","hemolytic"
"2158_Hemolytik_Amidation_Free_10.1%","non-hemolytic"
"2159_Hemolytik_Amidation_Free_0.6%","non-hemolytic"
"2160_Hemolytik_Amidation_Free_1.8%","non-hemolytic"
"2161_Hemolytik_Amidation_Free_1.5%","non-hemolytic"
"2163_Hemolytik_Amidation_Free_27.3%","hemolytic"
"2164_Hemolytik_Amidation_Free_28.8%","hemolytic"
"2165_Hemolytik_Amidation_Free_9.4%","non-hemolytic"
"2166_Hemolytik_Amidation_Free_30.3%","non-hemolytic"
"2167_Hemolytik_Amidation_Free_19.8%","hemolytic"
"2168_Hemolytik_Amidation_Free_4.7%","non-hemolytic"
"2171_Hemolytik_Amidation_Free_6.7%","non-hemolytic"
"2174_Hemolytik_Amidation_Free_6.2%","non-hemolytic"
"2175_Hemolytik_Amidation_Free_7.6%","non-hemolytic"
"2178_Hemolytik_Free_Free_2.5%","non-hemolytic"
"2179_Hemolytik_Free_Free_1.8%","non-hemolytic"
"2180_Hemolytik_Free_Free_10.0%","hemolytic"
"2181_Hemolytik_Free_Free_3.0%","hemolytic"
"2182_Hemolytik_Free_Free_~90%","hemolytic"
"2183_Hemolytik_Free_Free_~100%","hemolytic"
"2184_Hemolytik_Free_Free_~40%","hemolytic"
"2185_Hemolytik_Free_Free_~70%","hemolytic"
"2186_Hemolytik_Free_Free_~100%","hemolytic"
"2187_Hemolytik_Free_Free_~10%","hemolytic"
"2188_Hemolytik_Free_Free_~30%","non-hemolytic"
"2189_Hemolytik_Free_Free_~45%","non-hemolytic"
"2190_Hemolytik_Free_Free_0%","non-hemolytic"
"2191_Hemolytik_Free_Free_~100%","hemolytic"
"2192_Hemolytik_Free_Free_~100%","hemolytic"
"2193_Hemolytik_Free_Free_~100%","hemolytic"
"2194_Hemolytik_Amidation_Free_~30%","hemolytic"
"2196_Hemolytik_Amidation_Free_<20%","hemolytic"
"2198_Hemolytik_Amidation_Free_100%","hemolytic"
"2199_Hemolytik_Amidation_Free_82%","hemolytic"
"2200_Hemolytik_Amidation_Free_66%","hemolytic"
"2222_Hemolytik_Amidation_Free_4%","non-hemolytic"
"2223_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2224_Hemolytik_Amidation_Free_1%","non-hemolytic"
"2225_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2228_Hemolytik_Amidation_Free_17%","non-hemolytic"
"2229_Hemolytik_Amidation_Free_11%","non-hemolytic"
"2230_Hemolytik_Amidation_Free_34%","hemolytic"
"2231_Hemolytik_Amidation_Free_14%","hemolytic"
"2232_Hemolytik_Amidation_Free_42%","hemolytic"
"2233_Hemolytik_Amidation_Free_17%","hemolytic"
"2234_Hemolytik_Amidation_Free_3%","non-hemolytic"
"2235_Hemolytik_Amidation_Free_1%","non-hemolytic"
"2236_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2237_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2238_Hemolytik_Amidation_Free_2%","non-hemolytic"
"2239_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2240_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2241_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2242_Hemolytik_Amidation_Free_2%","non-hemolytic"
"2243_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2244_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2245_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2246_Hemolytik_Amidation_Free_1%","non-hemolytic"
"2247_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2248_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2249_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2254_Hemolytik_Amidation_Free_3%","non-hemolytic"
"2255_Hemolytik_Amidation_Free_1%","non-hemolytic"
"2256_Hemolytik_Amidation_Free_26%","non-hemolytic"
"2257_Hemolytik_Amidation_Free_14%","non-hemolytic"
"2258_Hemolytik_Amidation_Free_1%","non-hemolytic"
"2259_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2260_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2261_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2262_Hemolytik_Amidation_Free_2%","non-hemolytic"
"2263_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2264_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2265_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2267_Hemolytik_Amidation_Free_2%","non-hemolytic"
"2268_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2269_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2270_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2271_Hemolytik_Free_Free_27%","hemolytic"
"2272_Hemolytik_Free_Free_27%","hemolytic"
"2273_Hemolytik_Free_Free_14%","non-hemolytic"
"2274_Hemolytik_Free_Free_1%","non-hemolytic"
"2275_Hemolytik_Free_Free_13%","non-hemolytic"
"2276_Hemolytik_Free_Free_3%","non-hemolytic"
"2277_Hemolytik_Free_Free_1%","non-hemolytic"
"2284_Hemolytik_Free_Free_1%","non-hemolytic"
"2329_Hemolytik_Free_Free_<20%","non-hemolytic"
"2336_Hemolytik_Free_Free_~20%","hemolytic"
"2337_Hemolytik_Free_Free_100%","hemolytic"
"2338_Hemolytik_Free_Free_~100%","hemolytic"
"2339_Hemolytik_Free_Free_<20%","hemolytic"
"2340_Hemolytik_Free_Free_~80%","hemolytic"
"2341_Hemolytik_Free_Free_~80%","hemolytic"
"2342_Hemolytik_Free_Free_>80%","hemolytic"
"2343_Hemolytik_Free_Free_100%","hemolytic"
"2344_Hemolytik_Free_Free_100%","hemolytic"
"2345_Hemolytik_Free_Free_~40%","hemolytic"
"2346_Hemolytik_Free_Free_>60%","hemolytic"
"2347_Hemolytik_Free_Free_100%","hemolytic"
"2348_Hemolytik_Free_Free_0%","non-hemolytic"
"2349_Hemolytik_Free_Free_>20%","non-hemolytic"
"2350_Hemolytik_Free_Free_>40%","non-hemolytic"
"2351_Hemolytik_Free_Free_~60%","hemolytic"
"2352_Hemolytik_Free_Free_90%","hemolytic"
"2353_Hemolytik_Free_Free_~100%","hemolytic"
"2367_Hemolytik_Amidation_Free_1.98%","hemolytic"
"2368_Hemolytik_Amidation_Free_2.05%","hemolytic"
"2390_Hemolytik_Free_Free_~5%","non-hemolytic"
"2391_Hemolytik_Free_Free_~5%","non-hemolytic"
"2392_Hemolytik_Free_Free_~5%","non-hemolytic"
"2393_Hemolytik_Free_Free_~20%","hemolytic"
"2395_Hemolytik_Amidation_Free_80%","hemolytic"
"2397_Hemolytik_Amidation_Free_~20%","hemolytic"
"2398_Hemolytik_Amidation_Free_~50%","hemolytic"
"2399_Hemolytik_Amidation_Free_~20%","hemolytic"
"2401_Hemolytik_Amidation_Free_~20%","non-hemolytic"
"2402_Hemolytik_Amidation_Free_<10%","non-hemolytic"
"2403_Hemolytik_Amidation_Free_~10%","non-hemolytic"
"2404_Hemolytik_Amidation_Free_<10%","non-hemolytic"
"2405_Hemolytik_Amidation_Free_<0%","non-hemolytic"
"2433_Hemolytik_Free_Free_0.9%","non-hemolytic"
"2434_Hemolytik_Free_Free_1.9%","non-hemolytic"
"2438_Hemolytik_Amidation_Free_14.7%","non-hemolytic"
"2439_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2440_Hemolytik_Amidation_Free_0.8%","non-hemolytic"
"2442_Hemolytik_Free_Free_0%","non-hemolytic"
"2443_Hemolytik_Free_Free_11.4%","hemolytic"
"2444_Hemolytik_Free_Free_0.3%","non-hemolytic"
"2445_Hemolytik_Free_Free_0.6%","hemolytic"
"2446_Hemolytik_Amidation_Free_3.7%","hemolytic"
"2447_Hemolytik_Free_Free_0%","hemolytic"
"2448_Hemolytik_Free_Free_30.6%","hemolytic"
"2449_Hemolytik_Free_Free_38.2%","hemolytic"
"2451_Hemolytik_Free_Free_0.5%","hemolytic"
"2452_Hemolytik_Free_Free_17.1%","hemolytic"
"2484_Hemolytik_Free_Free_50%","hemolytic"
"2492_Hemolytik_Free_Free_42%","hemolytic"
"2493_Hemolytik_Free_Free_75%","hemolytic"
"2494_Hemolytik_Amidation_Free_43%","hemolytic"
"2495_Hemolytik_Amidation_Free_65%","hemolytic"
"2496_Hemolytik_Amidation_Free_22%","hemolytic"
"2497_Hemolytik_Amidation_Free_48%","hemolytic"
"2498_Hemolytik_Amidation_Free_35%","hemolytic"
"2499_Hemolytik_Amidation_Free_71%","hemolytic"
"2500_Hemolytik_Amidation_Free_75%","hemolytic"
"2502_Hemolytik_Free_Free_2.5%","non-hemolytic"
"2503_Hemolytik_Free_Free_16.6%","non-hemolytic"
"2504_Hemolytik_Free_Free_15.4%","non-hemolytic"
"2505_Hemolytik_Free_Free_37.4%","non-hemolytic"
"2506_Hemolytik_Amidation_Free_37%","hemolytic"
"2514_Hemolytik_Free_Free_2.2%","non-hemolytic"
"2519_Hemolytik_Free_Free_0.2%","non-hemolytic"
"2520_Hemolytik_Free_Free_4.5%","non-hemolytic"
"2521_Hemolytik_Free_Free_24%","hemolytic"
"2522_Hemolytik_Free_Free_5.4%","hemolytic"
"2523_Hemolytik_Free_Free_5.3%","hemolytic"
"2524_Hemolytik_Free_Free_7.1%","hemolytic"
"2525_Hemolytik_Free_Free_6.3%","hemolytic"
"2526_Hemolytik_Free_Free_2.7%","hemolytic"
"2527_Hemolytik_Free_Free_5.1%","hemolytic"
"2528_Hemolytik_Free_Free_6.3%","hemolytic"
"2529_Hemolytik_Free_Free_7.2%","hemolytic"
"2530_Hemolytik_Free_Free_7.2%","hemolytic"
"2531_Hemolytik_Amidation_Free_12.3%","hemolytic"
"2532_Hemolytik_Free_Free_50%","hemolytic"
"2542_Hemolytik_Amidation_Free_77%","non-hemolytic"
"2543_Hemolytik_Amidation_Free_29%","non-hemolytic"
"2544_Hemolytik_Amidation_Free_6%","non-hemolytic"
"2545_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2569_Hemolytik_Free_Free_>0.1%","non-hemolytic"
"2577_Hemolytik_Free_Free_0.3","non-hemolytic"
"2578_Hemolytik_Free_Free_1.5","non-hemolytic"
"2579_Hemolytik_Free_Free_-1.2","non-hemolytic"
"2580_Hemolytik_Free_Free_3.4","non-hemolytic"
"2581_Hemolytik_Free_Free_-0.4","non-hemolytic"
"2582_Hemolytik_Free_Free_-0.6","non-hemolytic"
"2583_Hemolytik_Free_Free_1.1","non-hemolytic"
"2584_Hemolytik_Free_Free_2.0","non-hemolytic"
"2585_Hemolytik_Free_Free_~2%","non-hemolytic"
"2587_Hemolytik_Free_Free_0%","non-hemolytic"
"2588_Hemolytik_Free_Free_~5%","non-hemolytic"
"2589_Hemolytik_Free_Free_0%","non-hemolytic"
"2590_Hemolytik_Free_Free_~30%","hemolytic"
"2591_Hemolytik_Free_Free_10%","hemolytic"
"2604_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2605_Hemolytik_Amidation_Free_8%","non-hemolytic"
"2606_Hemolytik_Amidation_Free_71%","non-hemolytic"
"2609_Hemolytik_Free_Free_42%","hemolytic"
"2613_Hemolytik_Amidation_Free_<5%","non-hemolytic"
"2614_Hemolytik_Free_Free_2%","non-hemolytic"
"2621_Hemolytik_Amidation_Free_35.5%","hemolytic"
"2652_Hemolytik_Free_Free_0%","non-hemolytic"
"2653_Hemolytik_Free_Free_0%","non-hemolytic"
"2654_Hemolytik_Free_Free_0%","non-hemolytic"
"2655_Hemolytik_Free_Free_0.1%","non-hemolytic"
"2658_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2659_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2660_Hemolytik_Amidation_Free_2.3%","non-hemolytic"
"2661_Hemolytik_Amidation_Free_2.5%","non-hemolytic"
"2662_Hemolytik_Amidation_Free_2.6%","non-hemolytic"
"2667_Hemolytik_Free_Free_10%","hemolytic"
"2668_Hemolytik_Free_Free_10%","non-hemolytic"
"2673_Hemolytik_Amidation_Free_~14%","non-hemolytic"
"2691_Hemolytik_Free_Free_15.2±2.1%","hemolytic"
"2692_Hemolytik_Free_Free_0.109%","non-hemolytic"
"2693_Hemolytik_Free_Free_0.119%","non-hemolytic"
"2694_Hemolytik_Free_Free_~2%","non-hemolytic"
"2695_Hemolytik_Free_Free_~2%","non-hemolytic"
"2696_Hemolytik_Free_Free_~3%","non-hemolytic"
"2697_Hemolytik_Free_Free_~4%","non-hemolytic"
"2698_Hemolytik_Free_Free_~3%","non-hemolytic"
"2699_Hemolytik_Free_Free_~9%","hemolytic"
"2703_Hemolytik_Free_Free_40%","hemolytic"
"2710_Hemolytik_Free_Free_19%","hemolytic"
"2736_Hemolytik_Free_Free_<1%","non-hemolytic"
"2737_Hemolytik_Amidation_Free_<1%","non-hemolytic"
"2738_Hemolytik_Free_Free_<1%","non-hemolytic"
"2739_Hemolytik_Free_Free_<1%","non-hemolytic"
"2740_Hemolytik_Free_Free_<1%","non-hemolytic"
"2741_Hemolytik_Free_Free_<1%","non-hemolytic"
"2742_Hemolytik_Free_Free_<1%","non-hemolytic"
"2743_Hemolytik_Amidation_Free_<1%","non-hemolytic"
"2744_Hemolytik_Amidation_Free_<1%","non-hemolytic"
"2745_Hemolytik_Amidation_Free_<1%","non-hemolytic"
"2767_Hemolytik_Amidation_Free_100%","hemolytic"
"2768_Hemolytik_Amidation_Free_3%","non-hemolytic"
"2786_Hemolytik_Amidation_Free_7%","non-hemolytic"
"2807_Hemolytik_Free_Free_13.2%","hemolytic"
"2808_Hemolytik_Free_Free_9.1%","hemolytic"
"2809_Hemolytik_Free_Free_6.3%","hemolytic"
"2810_Hemolytik_Free_Free_3.6%","hemolytic"
"2826_Hemolytik_Amidation_Acetylation_0.3%","non-hemolytic"
"2828_Hemolytik_Amidation_Acetylation_17%","non-hemolytic"
"2829_Hemolytik_Amidation_Acetylation_~3%","non-hemolytic"
"2830_Hemolytik_Amidation_Acetylation_18%","non-hemolytic"
"2831_Hemolytik_Amidation_Free_48%","hemolytic"
"2832_Hemolytik_Amidation_Free_25%","hemolytic"
"2835_Hemolytik_Amidation_Free_10%","hemolytic"
"2836_Hemolytik_Amidation_Free_19%","hemolytic"
"2837_Hemolytik_Amidation_Free_4.5%","hemolytic"
"2839_Hemolytik_Amidation_Free_14%","hemolytic"
"2841_Hemolytik_Amidation_Free_29%","hemolytic"
"2843_Hemolytik_Amidation_Free_43%","hemolytic"
"2879_Hemolytik_Amidation_Free_27.5%","hemolytic"
"2880_Hemolytik_Amidation_Free_0.5%","hemolytic"
"2882_Hemolytik_Amidation_Free_2%","hemolytic"
"2883_Hemolytik_Amidation_Free_15%","hemolytic"
"2884_Hemolytik_Amidation_Free_0%","hemolytic"
"2886_Hemolytik_Amidation_Free_0%","hemolytic"
